Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Řád národa - Vlastenecká unie,Blok proti islam.-Obran.domova,Česká str.sociálně demokrat.,Strana svobodných občanů,Radostné Česko,Komunistická str.Čech a Moravy,Strana zelených,STAROSTOVÉ A NEZÁVISLÍ,Česká pirátská strana,Občanská demokratická aliance
535010,Běleč,262,181,181,0,23,2,0,0,19,0,0,11,1,13,22,0
532070,Běloky,135,102,101,0,12,0,0,0,10,3,0,12,1,6,16,0
532088,Beřovice,272,152,152,0,21,3,0,1,12,2,0,6,3,13,18,0
535125,Bílichov,155,99,99,0,7,0,0,0,9,4,0,14,0,10,8,0
532100,Blevice,243,172,171,0,11,3,1,0,19,2,0,40,3,13,22,0
532118,Brandýsek,1 438,894,883,1,99,7,1,3,70,13,1,83,14,49,128,0
532126,Braškov,847,625,619,0,90,5,0,0,35,7,0,54,11,40,101,0
532142,Bratronice,749,489,487,0,75,9,0,0,23,10,3,54,2,34,51,0
532169,Buštěhrad,2 508,1 645,1 639,3,246,8,0,2,87,35,2,115,18,118,242,1
532185,Cvrčovice,568,354,353,0,53,3,1,0,22,5,1,45,2,20,41,0
532207,Černuc,810,418,414,0,36,5,2,1,23,4,0,40,10,21,50,0
532223,Doksy,1 263,811,806,0,131,8,2,0,33,24,2,61,14,53,108,1
513130,Dolany,188,131,129,0,16,2,0,0,9,1,0,6,1,20,14,0
512991,Drnek,141,100,100,0,13,1,0,1,4,1,0,15,0,16,7,0
532274,Družec,830,564,563,1,92,4,1,1,43,10,2,40,3,42,66,0
532282,Dřetovice,366,226,224,0,19,2,0,1,16,4,0,34,4,7,24,1
532291,Dřínov,255,140,140,1,11,0,1,0,7,1,0,17,0,12,8,0
513075,Hobšovice,282,141,141,0,14,0,0,0,7,1,0,11,2,5,20,1
532312,Horní Bezděkov,482,381,381,0,78,3,0,0,18,2,0,31,2,22,60,1
532321,Hořešovice,214,144,142,0,34,0,0,0,10,1,0,11,1,8,6,0
535150,Hořešovičky,99,60,60,0,4,0,0,0,6,3,0,11,0,1,3,0
532339,Hospozín,415,192,191,0,19,0,1,0,10,5,0,31,1,19,12,0
532347,Hostouň,915,573,568,0,85,5,0,1,28,8,1,40,9,36,68,2
532355,Hradečno,409,264,263,0,41,1,0,0,9,2,0,17,1,15,43,0
532363,Hrdlív,392,251,250,0,26,4,0,0,18,8,0,23,1,8,22,0
532371,Hřebeč,1 528,979,946,1,142,5,1,1,37,21,0,43,7,65,140,1
532398,Chržín,204,124,124,0,8,0,0,0,12,1,1,13,3,11,14,0
532401,Jarpice,228,137,137,0,12,4,0,0,5,0,1,28,1,9,13,0
532410,Jedomělice,305,203,202,0,23,3,0,0,14,6,0,22,1,28,17,0
532428,Jemníky,204,142,142,0,22,0,0,0,5,0,0,15,1,16,17,1
532444,Kačice,990,612,612,0,70,4,0,2,37,9,0,64,7,38,77,0
532452,Kamenné Žehrovice,1 426,930,923,0,107,9,2,1,58,11,1,93,12,39,114,0
513032,Kamenný Most,356,197,196,0,25,1,0,0,8,2,0,32,3,13,21,0
532053,Kladno,53 652,29 228,29 034,13,3 297,203,49,16,2 001,594,42,2 482,433,1 285,3 480,35
532461,Klobuky,822,434,430,0,24,1,0,0,62,13,0,51,5,14,45,0
532479,Kmetiněves,228,137,136,0,16,3,1,0,4,1,0,12,2,9,19,0
532487,Knovíz,446,276,275,0,44,3,0,1,23,3,0,20,5,18,18,1
532495,Koleč,484,270,269,0,22,0,0,0,26,3,0,35,7,10,33,0
535109,Královice,173,124,124,0,19,0,0,0,5,6,0,18,1,5,9,0
571512,Kutrovice,89,52,52,0,4,0,0,0,6,3,0,8,0,5,10,0
532517,Kvílice,63,39,39,0,3,0,0,0,2,0,0,9,0,0,4,0
532525,Kyšice,496,338,338,0,49,1,0,0,13,18,0,33,2,16,54,0
541991,Lány,1 626,1 046,1 032,0,168,13,1,1,69,18,1,107,11,70,119,5
532533,Ledce,380,247,244,0,14,3,0,0,11,4,0,42,2,22,25,0
513041,Lhota,495,363,362,0,55,1,2,1,23,1,0,46,4,17,48,1
564150,Libochovičky,49,40,40,0,7,0,0,0,0,0,0,3,0,2,7,0
571601,Libovice,266,180,180,0,22,2,2,0,15,3,0,13,3,7,28,0
532576,Libušín,2 410,1 354,1 348,2,113,8,3,1,82,21,1,145,18,85,148,0
532584,Lidice,425,333,331,0,50,1,0,2,18,6,0,25,1,20,37,1
571555,Líský,90,66,65,0,7,0,0,0,1,3,0,9,1,5,2,1
535095,Loucká,105,68,68,2,3,2,0,0,3,1,0,11,0,1,1,0
532622,Makotřasy,340,226,226,0,24,1,0,0,15,6,0,12,6,11,25,0
532631,Malé Kyšice,385,276,273,1,48,0,1,0,18,6,0,10,5,11,40,0
513113,Malé Přítočno,199,136,134,0,30,0,0,0,9,3,0,9,2,10,18,1
532657,Malíkovice,321,192,192,1,17,1,0,0,11,6,1,27,5,13,15,0
571521,Neprobylice,134,80,78,0,9,1,0,0,7,0,0,4,0,3,9,0
532665,Neuměřice,330,184,184,0,23,3,0,0,11,1,0,16,0,9,24,0
532681,Otvovice,598,388,385,0,49,6,0,2,22,5,1,44,2,17,34,1
564192,Páleč,165,98,98,0,4,0,1,0,6,1,0,13,1,10,3,0
532711,Pavlov,135,86,85,0,11,1,1,0,3,2,1,12,0,4,15,0
532720,Pchery,1 556,930,922,1,86,13,0,2,78,22,1,124,9,49,92,2
532738,Pletený Újezd,401,268,267,0,47,1,1,1,14,0,0,25,2,17,29,1
564125,Plchov,158,104,104,0,4,0,1,0,5,0,0,19,2,9,13,0
532754,Podlešín,253,152,150,0,13,0,0,1,17,4,1,16,3,15,14,0
564087,Poštovice,176,115,114,0,7,1,0,0,2,0,0,12,0,5,11,0
532762,Pozdeň,336,228,227,0,24,3,0,1,23,2,0,31,3,9,15,1
532771,Přelíc,317,198,198,0,15,5,0,0,10,4,0,14,2,13,24,1
532797,Řisuty,290,194,193,0,20,3,0,1,6,11,2,13,1,13,31,0
532801,Sazená,257,159,158,0,13,3,0,1,5,4,0,19,1,8,20,0
532819,Slaný,12 020,6 948,6 919,4,857,39,11,8,511,171,5,569,113,411,791,11
532827,Slatina,448,291,289,0,32,0,0,0,16,4,0,41,2,26,24,0
532835,Smečno,1 472,790,787,1,99,6,1,0,54,9,2,83,13,68,68,0
532851,Stehelčeves,616,392,391,0,63,2,1,0,15,5,1,44,7,34,51,0
532860,Stochov,4 432,2 325,2 310,0,186,43,2,1,267,39,3,228,17,151,203,1
599441,Stradonice,95,45,45,0,5,0,0,0,3,1,0,8,0,0,2,0
551457,Studeněves,357,215,215,0,31,3,1,0,5,3,0,16,1,17,29,0
599433,Svárov,429,306,303,0,52,1,0,1,12,8,0,10,2,46,47,0
532908,Svinařov,578,364,359,0,47,2,2,2,42,3,0,38,2,11,32,0
532916,Šlapanice,143,79,79,0,11,2,0,0,14,0,0,11,2,1,6,0
532959,Třebichovice,471,283,283,0,34,4,1,0,8,2,0,31,2,13,25,0
532967,Třebíz,190,144,143,0,27,2,0,0,8,1,0,14,2,5,18,1
532975,Třebusice,418,246,242,0,19,1,0,0,14,3,0,30,5,11,21,0
532983,Tuchlovice,1 983,1 314,1 305,2,169,8,2,2,71,17,1,121,23,184,134,0
532177,Tuřany,479,293,292,0,25,2,0,0,17,4,1,32,6,12,39,1
533009,Uhy,288,148,148,0,16,1,0,0,8,3,1,18,4,10,17,1
533017,Unhošť,3 626,2 396,2 376,2,345,13,2,3,164,56,3,153,38,114,341,5
533025,Velká Dobrá,1 365,995,988,0,175,13,1,1,53,13,3,49,9,64,122,0
533033,Velké Přítočno,805,535,533,0,64,3,0,1,21,12,0,39,9,26,77,1
533041,Velvary,2 472,1 448,1 440,0,161,21,5,3,129,14,1,153,29,115,130,1
533050,Vinařice,1 984,1 223,1 219,2,98,14,0,4,93,20,3,128,13,42,140,1
533068,Vraný,580,309,308,1,18,5,1,0,26,9,0,35,2,19,29,0
571431,Vrbičany,187,88,88,1,3,0,2,0,7,0,0,20,1,0,8,0
571598,Zájezd,92,58,57,0,10,2,0,1,2,2,0,3,0,5,2,0
533092,Zákolany,454,287,287,0,29,1,0,0,20,3,1,32,5,32,39,1
571423,Zichovec,119,105,105,0,16,0,0,0,10,1,0,6,3,17,9,0
533114,Zlonice,1 806,881,876,0,70,15,1,1,60,15,2,105,13,39,61,0
533122,Zvoleněves,701,364,364,0,36,0,1,0,26,7,0,43,6,6,43,0
599425,Želenice,151,91,91,0,1,1,0,0,10,0,0,11,1,2,11,0
533149,Žilina,645,427,425,0,48,3,0,1,29,11,0,54,6,29,49,0
533157,Žižice,487,298,296,0,43,3,1,1,16,1,0,27,3,17,40,0
